Rk_x,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_y,Player,Tm,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,Guaranteed
284,Keion Brooks Jr.,24,NOP,SF,8,1,18.0,2.9,5.5,.523,0.8,2.1,.353,2.1,3.4,.630,.591,0.6,1.0,.625,0.6,2.4,3.0,1.0,0.5,0.8,0.8,1.9,7.1,,,,,,,,,,
286,Sam Merrill,28,CLE,SG,67,3,19.6,2.4,6.0,.403,1.9,5.1,.365,0.5,0.8,.636,.560,0.4,0.4,.966,0.6,1.7,2.2,1.5,0.7,0.2,0.5,1.7,7.1,353,Sam Merrill,CLE,"$2,164,993",,,,,,"$2,164,993"
289,Marcus Garrett,26,CHO,SG,4,0,19.8,2.8,6.8,.407,0.8,2.0,.375,2.0,4.8,.421,.463,0.8,1.0,.750,0.3,1.3,1.5,3.3,0.8,0.5,1.5,2.5,7.0,,,,,,,,,,
290,Jaxson Hayes,24,LAL,C,50,29,19.8,2.9,4.0,.731,0.0,0.1,.000,2.9,4.0,.742,.731,1.1,1.7,.663,1.4,3.4,4.7,1.1,0.5,0.9,0.8,2.4,7.0,337,Jaxson Hayes,LAL,"$2,463,946",,,,,,"$2,463,946"
291,Isaiah Jackson,23,IND,C,5,1,16.8,2.8,4.6,.609,0.0,0.0,,2.8,4.6,.609,.609,1.4,2.8,.500,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0,262,Isaiah Jackson,IND,"$4,435,381",,,,,,"$4,435,381"
293,Cameron Payne,30,NYK,PG,66,4,14.9,2.5,6.1,.408,1.3,3.6,.366,1.2,2.5,.470,.516,0.7,0.7,.896,0.2,1.3,1.5,2.7,0.5,0.2,0.7,1.5,7.0,384,Cameron Payne,NYK,"$2,087,519",,,,,,"$2,087,519"
297,Chuma Okeke,26,PHI,PF,7,3,24.4,2.6,4.7,.545,1.4,3.1,.455,1.1,1.6,.727,.697,0.3,0.4,.667,2.9,3.3,6.1,1.9,0.7,0.4,0.4,0.7,6.9,490,Chuma Okeke,PHI,"$119,972",,,,,,"$119,972"
299,Alec Burks,33,MIA,SG,44,9,17.3,2.2,5.1,.427,1.7,3.9,.427,0.5,1.2,.426,.589,0.8,1.0,.761,0.3,2.2,2.5,1.1,0.6,0.2,0.5,0.7,6.8,389,Alec Burks,MIA,"$2,087,519",,,,,,"$2,087,519"
304,Thomas Bryant,27,2TM,C,60,7,14.9,2.6,5.0,.515,0.8,2.2,.338,1.8,2.7,.659,.591,0.8,1.0,.847,1.3,2.6,4.0,0.9,0.4,0.6,0.5,1.2,6.7,393,Thomas Bryant,IND,"$2,087,519",,,,,,"$2,087,519"
304,Thomas Bryant,27,MIA,C,10,0,11.5,1.2,2.8,.429,0.6,1.7,.353,0.6,1.1,.545,.536,1.1,1.1,1.000,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1,393,Thomas Bryant,IND,"$2,087,519",,,,,,"$2,087,519"
304,Thomas Bryant,27,IND,C,50,7,15.5,2.8,5.4,.524,0.8,2.3,.336,2.0,3.1,.667,.597,0.8,1.0,.813,1.5,2.6,4.1,1.0,0.5,0.5,0.5,1.2,7.2,393,Thomas Bryant,IND,"$2,087,519",,,,,,"$2,087,519"
306,Orlando Robinson,24,2TM,C,40,6,16.8,2.5,5.7,.442,0.4,1.1,.349,2.1,4.6,.464,.476,1.2,1.6,.790,1.9,3.0,4.8,1.7,0.4,0.4,1.1,2.2,6.6,455,Orlando Robinson,SAC,"$1,199,723",,,,,,"$959,779"
306,Orlando Robinson,24,2TM,C,40,6,16.8,2.5,5.7,.442,0.4,1.1,.349,2.1,4.6,.464,.476,1.2,1.6,.790,1.9,3.0,4.8,1.7,0.4,0.4,1.1,2.2,6.6,483,Orlando Robinson,TOR,"$1,199,723",,,,,,"$239,944"
306,Orlando Robinson,24,2TM,C,40,6,16.8,2.5,5.7,.442,0.4,1.1,.349,2.1,4.6,.464,.476,1.2,1.6,.790,1.9,3.0,4.8,1.7,0.4,0.4,1.1,2.2,6.6,484,Orlando Robinson,TOR,"$1,199,723",,,,,,"$239,944"
